vehicleType	price	brand	model	modelYear	fuel	codeFipe	referenceMonth	fuelAcronym
3	R$ 252.384,00	VOLVO	FM 480 6x4 2p (diesel)	2011	Diesel	516120-7	outubro de 2024	D
3	R$ 942.774,00	VOLVO	FH-540 GLOBETROTTER 6X4 2p (diesel) (E6)	2023	Diesel	516248-3	outubro de 2024	D
3	R$ 462.874,00	VOLVO	FH-540 GLOBETROTTER 6x4 2p (diesel) (E5)	2015	Diesel	516152-5	outubro de 2024	D
3	R$ 539.246,00	VOLVO	FH-540 GLOBETROTTER 6x4 2p (diesel) (E5)	2018	Diesel	516152-5	outubro de 2024	D
3	R$ 671.501,00	VOLVO	FH-540 GLOBETROTTER 6x4 2p (diesel) (E5)	2020	Diesel	516152-5	outubro de 2024	D
3	R$ 80.509,00	VOLVO	FM-10 320 4x2 2p (diesel)	2000	Diesel	516067-7	outubro de 2024	D
3	R$ 269.854,00	MERCEDES-BENZ	Atego 1719 2p (diesel) (E5)	2019	Diesel	509281-7	outubro de 2024	D
3	R$ 128.814,00	VOLKSWAGEN	17-180 Worker 2p (diesel)	2008	Diesel	515108-2	outubro de 2024	D
3	R$ 275.349,00	VOLVO	FH-460 GLOBETROTTER 6x2 2p (diesel) (E5)	2013	Diesel	516155-0	outubro de 2024	D
3	R$ 166.186,00	VOLKSWAGEN	9-150 E Delivery 2p (diesel)	2011	Diesel	515127-9	outubro de 2024	D
3	R$ 445.449,00	VOLVO	FH-460 GLOBETROTTER 6x2 2p (diesel) (E5)	2017	Diesel	516155-0	outubro de 2024	D
3	R$ 354.376,00	MAN	TGX 28.440 6x2 2p (diesel)(E5)	2020	Diesel	524002-6	outubro de 2024	D
3	R$ 689.901,00	VOLVO	FH-460 GLOBETROTTER 6x2 2p (diesel) (E5)	2022	Diesel	516155-0	outubro de 2024	D
3	R$ 551.825,00	IVECO	STRALIS HI-ROAD 600S44T 6x2 (dies.)(E5)	2023	Diesel	506159-8	outubro de 2024	D
3	R$ 513.877,00	MERCEDES-BENZ	Atego 2426 6x2 2p (diesel) (E5)	2022	Diesel	509284-1	outubro de 2024	D
3	R$ 571.332,00	MERCEDES-BENZ	Axor 2544 S/LS 6x2 2p (diesel) (E5)	2022	Diesel	509275-2	outubro de 2024	D
3	R$ 450.734,00	MERCEDES-BENZ	Atego 2426 6x2 2p (diesel) (E5)	2020	Diesel	509284-1	outubro de 2024	D
3	R$ 343.165,00	VOLKSWAGEN	23-230 Constellat. 3-Eixos (diesel)(E5)	2022	Diesel	515160-0	outubro de 2024	D
3	R$ 305.210,00	VOLKSWAGEN	13-180 Delivery 6x2 2p (diesel)(E5)	2022	Diesel	515172-4	outubro de 2024	D
3	R$ 339.854,00	VOLKSWAGEN	17-190 E Constellation 2p (diesel)(E5)	2022	Diesel	515135-0	outubro de 2024	D
3	R$ 369.217,00	MERCEDES-BENZ	Axor 2541 S/LS 6x2 2p (diesel) (E5)	2019	Diesel	509295-7	outubro de 2024	D
3	R$ 140.992,00	VOLKSWAGEN	17-180 Worker 2p (diesel)	2009	Diesel	515108-2	outubro de 2024	D
3	R$ 178.216,00	VOLKSWAGEN	24-220/24-220 Worker T 3-Eixos 2p (die.)	2011	Diesel	515050-7	outubro de 2024	D
3	R$ 165.811,00	VOLKSWAGEN	17-180 Worker 2p (diesel)	2010	Diesel	515108-2	outubro de 2024	D
3	R$ 171.036,00	VOLKSWAGEN	17-180 Worker 2p (diesel)	2011	Diesel	515108-2	outubro de 2024	D
3	R$ 574.024,00	VOLKSWAGEN	Meteor 28.480 6x2 2p (diesel)(E6)	2023	Diesel	515200-3	outubro de 2024	D
3	R$ 325.451,00	VOLKSWAGEN	19-330 E Constellation 2p (diesel)(E5)	2020	Diesel	515138-4	outubro de 2024	D
3	R$ 366.744,00	VOLKSWAGEN	17-190 E Constellation 2p (diesel)(E5)	2023	Diesel	515135-0	outubro de 2024	D
3	R$ 386.996,00	VOLKSWAGEN	25-420 Constellation 6x2 2p (Diesel)(E5)	2020	Diesel	515153-8	outubro de 2024	D
3	R$ 483.961,00	VOLKSWAGEN	Meteor 29.520 6x4 2p (diesel)(E5)	2022	Diesel	515178-3	outubro de 2024	D
3	R$ 308.276,00	VOLVO	VM 330 4x2 2p (diesel) (E5)	2020	Diesel	516143-6	outubro de 2024	D
3	R$ 603.853,00	SCANIA	R-450 A 6x4 2p (diesel)(E5)	2020	Diesel	513273-8	outubro de 2024	D
3	R$ 390.340,00	DAF	XF 105 FTS 460 6x2 (diesel)(E5)	2020	Diesel	530002-9	outubro de 2024	D
3	R$ 399.350,00	IVECO	STRALIS HI-ROAD 600S44T 6x2 (dies.)(E5)	2020	Diesel	506159-8	outubro de 2024	D
3	R$ 644.780,00	SCANIA	R-450 A 8x2 2p (diesel)(E5)	2022	Diesel	513303-3	outubro de 2024	D
3	R$ 370.306,00	MAN	TGX 29.480 6x4 2p (diesel)(E5)	2020	Diesel	524003-4	outubro de 2024	D
3	R$ 246.518,00	VOLVO	VM 220 4x2 2p (diesel) (E5)	2020	Diesel	516142-8	outubro de 2024	D
